Age_Range,Ethnicity,F,M,MSOA,Year
0-4,BAN,119.0,125.0,E02000864,2012
10-14,BAN,112.0,100.0,E02000864,2012
15-19,BAN,79.0,86.0,E02000864,2012
20-24,BAN,77.0,67.0,E02000864,2012
25-29,BAN,86.0,68.0,E02000864,2012
30-34,BAN,111.0,92.0,E02000864,2012
35-39,BAN,81.0,79.0,E02000864,2012
40-44,BAN,54.0,60.0,E02000864,2012
45-49,BAN,25.0,44.0,E02000864,2012
5-9,BAN,122.0,119.0,E02000864,2012
50-54,BAN,12.0,28.0,E02000864,2012
55-59,BAN,11.0,7.0,E02000864,2012
60-64,BAN,13.0,2.0,E02000864,2012
65-69,BAN,8.0,2.0,E02000864,2012
70-74,BAN,12.0,6.0,E02000864,2012
75-79,BAN,3.0,9.0,E02000864,2012
80-84,BAN,1.0,3.0,E02000864,2012
85+,BAN,,1.0,E02000864,2012
0-4,BLA,15.0,17.0,E02000864,2012
10-14,BLA,19.0,19.0,E02000864,2012
15-19,BLA,14.0,15.0,E02000864,2012
20-24,BLA,16.0,23.0,E02000864,2012
25-29,BLA,22.0,19.0,E02000864,2012
30-34,BLA,26.0,21.0,E02000864,2012
35-39,BLA,14.0,10.0,E02000864,2012
40-44,BLA,15.0,8.0,E02000864,2012
45-49,BLA,9.0,13.0,E02000864,2012
5-9,BLA,22.0,13.0,E02000864,2012
50-54,BLA,13.0,12.0,E02000864,2012
55-59,BLA,8.0,7.0,E02000864,2012
60-64,BLA,3.0,7.0,E02000864,2012
65-69,BLA,3.0,2.0,E02000864,2012
70-74,BLA,3.0,2.0,E02000864,2012
75-79,BLA,1.0,3.0,E02000864,2012
80-84,BLA,,2.0,E02000864,2012
85+,BLA,1.0,1.0,E02000864,2012
0-4,BLC,15.0,18.0,E02000864,2012
10-14,BLC,10.0,9.0,E02000864,2012
15-19,BLC,11.0,14.0,E02000864,2012
20-24,BLC,14.0,13.0,E02000864,2012
25-29,BLC,15.0,12.0,E02000864,2012
30-34,BLC,13.0,18.0,E02000864,2012
35-39,BLC,12.0,8.0,E02000864,2012
40-44,BLC,20.0,18.0,E02000864,2012
45-49,BLC,19.0,20.0,E02000864,2012
5-9,BLC,12.0,5.0,E02000864,2012
50-54,BLC,21.0,18.0,E02000864,2012
55-59,BLC,13.0,8.0,E02000864,2012
60-64,BLC,7.0,5.0,E02000864,2012
65-69,BLC,7.0,8.0,E02000864,2012
70-74,BLC,9.0,14.0,E02000864,2012
75-79,BLC,7.0,7.0,E02000864,2012
80-84,BLC,4.0,1.0,E02000864,2012
85+,BLC,4.0,2.0,E02000864,2012
0-4,CHI,,2.0,E02000864,2012
15-19,CHI,2.0,4.0,E02000864,2012
20-24,CHI,7.0,5.0,E02000864,2012
25-29,CHI,8.0,7.0,E02000864,2012
30-34,CHI,8.0,7.0,E02000864,2012
35-39,CHI,3.0,6.0,E02000864,2012
40-44,CHI,3.0,4.0,E02000864,2012
45-49,CHI,2.0,1.0,E02000864,2012
50-54,CHI,2.0,3.0,E02000864,2012
55-59,CHI,1.0,3.0,E02000864,2012
60-64,CHI,,1.0,E02000864,2012
65-69,CHI,1.0,,E02000864,2012
70-74,CHI,,1.0,E02000864,2012
75-79,CHI,1.0,1.0,E02000864,2012
85+,CHI,,1.0,E02000864,2012
0-4,IND,4.0,2.0,E02000864,2012
10-14,IND,2.0,5.0,E02000864,2012
15-19,IND,2.0,,E02000864,2012
20-24,IND,9.0,2.0,E02000864,2012
25-29,IND,6.0,7.0,E02000864,2012
30-34,IND,12.0,8.0,E02000864,2012
35-39,IND,6.0,5.0,E02000864,2012
40-44,IND,3.0,1.0,E02000864,2012
45-49,IND,5.0,3.0,E02000864,2012
5-9,IND,2.0,3.0,E02000864,2012
50-54,IND,3.0,1.0,E02000864,2012
55-59,IND,1.0,2.0,E02000864,2012
60-64,IND,1.0,2.0,E02000864,2012
65-69,IND,1.0,1.0,E02000864,2012
75-79,IND,1.0,,E02000864,2012
80-84,IND,1.0,,E02000864,2012
0-4,MIX,31.0,33.0,E02000864,2012
10-14,MIX,22.0,23.0,E02000864,2012
15-19,MIX,15.0,34.0,E02000864,2012
20-24,MIX,27.0,19.0,E02000864,2012
25-29,MIX,37.0,19.0,E02000864,2012
30-34,MIX,22.0,11.0,E02000864,2012
35-39,MIX,13.0,11.0,E02000864,2012
40-44,MIX,11.0,7.0,E02000864,2012
45-49,MIX,12.0,7.0,E02000864,2012
5-9,MIX,33.0,21.0,E02000864,2012
50-54,MIX,6.0,3.0,E02000864,2012
55-59,MIX,4.0,1.0,E02000864,2012
60-64,MIX,3.0,1.0,E02000864,2012
65-69,MIX,2.0,1.0,E02000864,2012
70-74,MIX,2.0,1.0,E02000864,2012
80-84,MIX,3.0,,E02000864,2012
85+,MIX,1.0,,E02000864,2012
0-4,OAS,3.0,2.0,E02000864,2012
10-14,OAS,4.0,4.0,E02000864,2012
15-19,OAS,4.0,3.0,E02000864,2012
20-24,OAS,8.0,7.0,E02000864,2012
25-29,OAS,9.0,4.0,E02000864,2012
30-34,OAS,9.0,7.0,E02000864,2012
35-39,OAS,5.0,6.0,E02000864,2012
40-44,OAS,7.0,3.0,E02000864,2012
45-49,OAS,5.0,3.0,E02000864,2012
5-9,OAS,6.0,2.0,E02000864,2012
50-54,OAS,4.0,1.0,E02000864,2012
55-59,OAS,4.0,3.0,E02000864,2012
60-64,OAS,,3.0,E02000864,2012
65-69,OAS,2.0,,E02000864,2012
70-74,OAS,1.0,,E02000864,2012
80-84,OAS,,1.0,E02000864,2012
0-4,OBL,11.0,17.0,E02000864,2012
10-14,OBL,6.0,8.0,E02000864,2012
15-19,OBL,5.0,9.0,E02000864,2012
20-24,OBL,9.0,14.0,E02000864,2012
25-29,OBL,8.0,6.0,E02000864,2012
30-34,OBL,7.0,5.0,E02000864,2012
35-39,OBL,7.0,6.0,E02000864,2012
40-44,OBL,7.0,4.0,E02000864,2012
45-49,OBL,8.0,16.0,E02000864,2012
5-9,OBL,7.0,8.0,E02000864,2012
50-54,OBL,2.0,9.0,E02000864,2012
55-59,OBL,1.0,1.0,E02000864,2012
60-64,OBL,2.0,3.0,E02000864,2012
65-69,OBL,1.0,1.0,E02000864,2012
70-74,OBL,,2.0,E02000864,2012
75-79,OBL,,1.0,E02000864,2012
80-84,OBL,1.0,2.0,E02000864,2012
85+,OBL,1.0,1.0,E02000864,2012
0-4,OTH,7.0,4.0,E02000864,2012
10-14,OTH,8.0,7.0,E02000864,2012
15-19,OTH,5.0,4.0,E02000864,2012
20-24,OTH,6.0,6.0,E02000864,2012
25-29,OTH,8.0,8.0,E02000864,2012
30-34,OTH,7.0,15.0,E02000864,2012
35-39,OTH,7.0,8.0,E02000864,2012
40-44,OTH,6.0,8.0,E02000864,2012
45-49,OTH,5.0,5.0,E02000864,2012
5-9,OTH,4.0,8.0,E02000864,2012
50-54,OTH,3.0,4.0,E02000864,2012
55-59,OTH,1.0,1.0,E02000864,2012
65-69,OTH,2.0,1.0,E02000864,2012
70-74,OTH,2.0,3.0,E02000864,2012
75-79,OTH,,1.0,E02000864,2012
80-84,OTH,,1.0,E02000864,2012
85+,OTH,1.0,,E02000864,2012
0-4,PAK,1.0,1.0,E02000864,2012
15-19,PAK,1.0,,E02000864,2012
20-24,PAK,2.0,1.0,E02000864,2012
25-29,PAK,6.0,3.0,E02000864,2012
30-34,PAK,1.0,6.0,E02000864,2012
35-39,PAK,1.0,2.0,E02000864,2012
40-44,PAK,2.0,1.0,E02000864,2012
45-49,PAK,2.0,,E02000864,2012
5-9,PAK,2.0,2.0,E02000864,2012
50-54,PAK,,2.0,E02000864,2012
65-69,PAK,2.0,,E02000864,2012
75-79,PAK,1.0,,E02000864,2012
85+,PAK,,1.0,E02000864,2012
0-4,WBI,108.0,114.0,E02000864,2012
10-14,WBI,51.0,66.0,E02000864,2012
15-19,WBI,57.0,75.0,E02000864,2012
20-24,WBI,174.0,166.0,E02000864,2012
25-29,WBI,254.0,218.0,E02000864,2012
30-34,WBI,225.0,247.0,E02000864,2012
35-39,WBI,118.0,143.0,E02000864,2012
40-44,WBI,116.0,111.0,E02000864,2012
45-49,WBI,134.0,102.0,E02000864,2012
5-9,WBI,86.0,54.0,E02000864,2012
50-54,WBI,133.0,108.0,E02000864,2012
55-59,WBI,124.0,93.0,E02000864,2012
60-64,WBI,99.0,105.0,E02000864,2012
65-69,WBI,80.0,81.0,E02000864,2012
70-74,WBI,63.0,70.0,E02000864,2012
75-79,WBI,64.0,58.0,E02000864,2012
80-84,WBI,67.0,42.0,E02000864,2012
85+,WBI,64.0,40.0,E02000864,2012
0-4,WHO,18.0,19.0,E02000864,2012
10-14,WHO,7.0,7.0,E02000864,2012
15-19,WHO,6.0,5.0,E02000864,2012
20-24,WHO,41.0,31.0,E02000864,2012
25-29,WHO,94.0,76.0,E02000864,2012
30-34,WHO,83.0,79.0,E02000864,2012
35-39,WHO,40.0,54.0,E02000864,2012
40-44,WHO,23.0,19.0,E02000864,2012
45-49,WHO,14.0,18.0,E02000864,2012
5-9,WHO,7.0,9.0,E02000864,2012
50-54,WHO,16.0,11.0,E02000864,2012
55-59,WHO,12.0,5.0,E02000864,2012
60-64,WHO,6.0,7.0,E02000864,2012
65-69,WHO,4.0,4.0,E02000864,2012
70-74,WHO,1.0,1.0,E02000864,2012
75-79,WHO,6.0,4.0,E02000864,2012
80-84,WHO,3.0,,E02000864,2012
85+,WHO,4.0,4.0,E02000864,2012
0-4,BAN,132.0,109.0,E02000865,2012
10-14,BAN,132.0,127.0,E02000865,2012
15-19,BAN,130.0,113.0,E02000865,2012
20-24,BAN,121.0,104.0,E02000865,2012
25-29,BAN,127.0,118.0,E02000865,2012
30-34,BAN,129.0,101.0,E02000865,2012
35-39,BAN,96.0,102.0,E02000865,2012
40-44,BAN,49.0,94.0,E02000865,2012
45-49,BAN,34.0,43.0,E02000865,2012
5-9,BAN,137.0,143.0,E02000865,2012
50-54,BAN,33.0,40.0,E02000865,2012
55-59,BAN,37.0,19.0,E02000865,2012
60-64,BAN,19.0,10.0,E02000865,2012
65-69,BAN,19.0,9.0,E02000865,2012
70-74,BAN,13.0,23.0,E02000865,2012
75-79,BAN,9.0,15.0,E02000865,2012
80-84,BAN,3.0,10.0,E02000865,2012
85+,BAN,3.0,3.0,E02000865,2012
0-4,BLA,10.0,20.0,E02000865,2012
10-14,BLA,7.0,14.0,E02000865,2012
15-19,BLA,12.0,10.0,E02000865,2012
20-24,BLA,10.0,7.0,E02000865,2012
25-29,BLA,14.0,14.0,E02000865,2012
30-34,BLA,9.0,15.0,E02000865,2012
35-39,BLA,22.0,15.0,E02000865,2012
40-44,BLA,17.0,12.0,E02000865,2012
45-49,BLA,11.0,14.0,E02000865,2012
5-9,BLA,11.0,11.0,E02000865,2012
50-54,BLA,5.0,9.0,E02000865,2012
55-59,BLA,3.0,3.0,E02000865,2012
60-64,BLA,5.0,3.0,E02000865,2012
65-69,BLA,3.0,,E02000865,2012
70-74,BLA,3.0,2.0,E02000865,2012
80-84,BLA,1.0,,E02000865,2012
85+,BLA,,1.0,E02000865,2012
0-4,BLC,3.0,3.0,E02000865,2012
10-14,BLC,5.0,4.0,E02000865,2012
15-19,BLC,4.0,6.0,E02000865,2012
20-24,BLC,3.0,3.0,E02000865,2012
25-29,BLC,10.0,9.0,E02000865,2012
30-34,BLC,5.0,7.0,E02000865,2012
35-39,BLC,4.0,10.0,E02000865,2012
40-44,BLC,7.0,5.0,E02000865,2012
45-49,BLC,9.0,5.0,E02000865,2012
5-9,BLC,3.0,2.0,E02000865,2012
50-54,BLC,10.0,8.0,E02000865,2012
55-59,BLC,5.0,6.0,E02000865,2012
60-64,BLC,5.0,2.0,E02000865,2012
65-69,BLC,2.0,,E02000865,2012
70-74,BLC,,1.0,E02000865,2012
75-79,BLC,2.0,1.0,E02000865,2012
80-84,BLC,2.0,,E02000865,2012
85+,BLC,,1.0,E02000865,2012
0-4,CHI,,3.0,E02000865,2012
10-14,CHI,,3.0,E02000865,2012
15-19,CHI,1.0,5.0,E02000865,2012
20-24,CHI,6.0,2.0,E02000865,2012
25-29,CHI,6.0,9.0,E02000865,2012
30-34,CHI,6.0,1.0,E02000865,2012
35-39,CHI,3.0,3.0,E02000865,2012
40-44,CHI,2.0,,E02000865,2012
45-49,CHI,1.0,1.0,E02000865,2012
5-9,CHI,1.0,,E02000865,2012
50-54,CHI,3.0,2.0,E02000865,2012
55-59,CHI,2.0,3.0,E02000865,2012
60-64,CHI,3.0,1.0,E02000865,2012
65-69,CHI,1.0,1.0,E02000865,2012
75-79,CHI,,1.0,E02000865,2012
80-84,CHI,2.0,1.0,E02000865,2012
0-4,IND,,5.0,E02000865,2012
10-14,IND,4.0,3.0,E02000865,2012
15-19,IND,3.0,2.0,E02000865,2012
20-24,IND,7.0,7.0,E02000865,2012
25-29,IND,9.0,7.0,E02000865,2012
30-34,IND,7.0,4.0,E02000865,2012
35-39,IND,7.0,6.0,E02000865,2012
40-44,IND,3.0,1.0,E02000865,2012
45-49,IND,4.0,5.0,E02000865,2012
5-9,IND,3.0,3.0,E02000865,2012
50-54,IND,1.0,2.0,E02000865,2012
55-59,IND,2.0,2.0,E02000865,2012
60-64,IND,2.0,1.0,E02000865,2012
70-74,IND,1.0,1.0,E02000865,2012
0-4,MIX,22.0,28.0,E02000865,2012
10-14,MIX,9.0,17.0,E02000865,2012
15-19,MIX,13.0,11.0,E02000865,2012
20-24,MIX,24.0,13.0,E02000865,2012
25-29,MIX,30.0,15.0,E02000865,2012
30-34,MIX,21.0,12.0,E02000865,2012
35-39,MIX,5.0,6.0,E02000865,2012
40-44,MIX,8.0,10.0,E02000865,2012
45-49,MIX,7.0,5.0,E02000865,2012
5-9,MIX,13.0,14.0,E02000865,2012
50-54,MIX,8.0,6.0,E02000865,2012
55-59,MIX,4.0,6.0,E02000865,2012
60-64,MIX,5.0,3.0,E02000865,2012
65-69,MIX,3.0,1.0,E02000865,2012
70-74,MIX,3.0,,E02000865,2012
75-79,MIX,1.0,1.0,E02000865,2012
85+,MIX,,1.0,E02000865,2012
0-4,OAS,5.0,4.0,E02000865,2012
10-14,OAS,2.0,1.0,E02000865,2012
15-19,OAS,3.0,2.0,E02000865,2012
20-24,OAS,12.0,7.0,E02000865,2012
25-29,OAS,11.0,5.0,E02000865,2012
30-34,OAS,10.0,6.0,E02000865,2012
35-39,OAS,6.0,7.0,E02000865,2012
40-44,OAS,9.0,1.0,E02000865,2012
45-49,OAS,5.0,5.0,E02000865,2012
5-9,OAS,,6.0,E02000865,2012
50-54,OAS,7.0,2.0,E02000865,2012
55-59,OAS,3.0,1.0,E02000865,2012
60-64,OAS,1.0,,E02000865,2012
65-69,OAS,1.0,,E02000865,2012
0-4,OBL,8.0,8.0,E02000865,2012
10-14,OBL,7.0,8.0,E02000865,2012
15-19,OBL,4.0,2.0,E02000865,2012
20-24,OBL,1.0,3.0,E02000865,2012
25-29,OBL,7.0,3.0,E02000865,2012
30-34,OBL,4.0,9.0,E02000865,2012
35-39,OBL,5.0,5.0,E02000865,2012
40-44,OBL,1.0,4.0,E02000865,2012
45-49,OBL,2.0,4.0,E02000865,2012
5-9,OBL,4.0,8.0,E02000865,2012
50-54,OBL,4.0,2.0,E02000865,2012
55-59,OBL,3.0,2.0,E02000865,2012
60-64,OBL,3.0,1.0,E02000865,2012
65-69,OBL,1.0,3.0,E02000865,2012
70-74,OBL,,1.0,E02000865,2012
75-79,OBL,1.0,,E02000865,2012
80-84,OBL,3.0,,E02000865,2012
85+,OBL,1.0,,E02000865,2012
0-4,OTH,8.0,9.0,E02000865,2012
10-14,OTH,5.0,8.0,E02000865,2012
15-19,OTH,3.0,4.0,E02000865,2012
20-24,OTH,6.0,10.0,E02000865,2012
25-29,OTH,3.0,11.0,E02000865,2012
30-34,OTH,17.0,15.0,E02000865,2012
35-39,OTH,4.0,11.0,E02000865,2012
40-44,OTH,5.0,13.0,E02000865,2012
45-49,OTH,4.0,9.0,E02000865,2012
5-9,OTH,9.0,4.0,E02000865,2012
50-54,OTH,2.0,7.0,E02000865,2012
55-59,OTH,,3.0,E02000865,2012
60-64,OTH,2.0,1.0,E02000865,2012
65-69,OTH,3.0,2.0,E02000865,2012
70-74,OTH,1.0,,E02000865,2012
75-79,OTH,,1.0,E02000865,2012
0-4,PAK,,1.0,E02000865,2012
10-14,PAK,1.0,1.0,E02000865,2012
15-19,PAK,1.0,2.0,E02000865,2012
25-29,PAK,2.0,3.0,E02000865,2012
30-34,PAK,,1.0,E02000865,2012
40-44,PAK,1.0,1.0,E02000865,2012
45-49,PAK,1.0,,E02000865,2012
55-59,PAK,1.0,,E02000865,2012
60-64,PAK,2.0,,E02000865,2012
65-69,PAK,1.0,,E02000865,2012
0-4,WBI,63.0,72.0,E02000865,2012
10-14,WBI,32.0,29.0,E02000865,2012
15-19,WBI,37.0,43.0,E02000865,2012
20-24,WBI,102.0,88.0,E02000865,2012
25-29,WBI,241.0,188.0,E02000865,2012
30-34,WBI,160.0,150.0,E02000865,2012
35-39,WBI,93.0,109.0,E02000865,2012
40-44,WBI,85.0,108.0,E02000865,2012
45-49,WBI,82.0,107.0,E02000865,2012
5-9,WBI,34.0,43.0,E02000865,2012
50-54,WBI,76.0,90.0,E02000865,2012
55-59,WBI,62.0,67.0,E02000865,2012
60-64,WBI,48.0,71.0,E02000865,2012
65-69,WBI,52.0,48.0,E02000865,2012
70-74,WBI,31.0,33.0,E02000865,2012
75-79,WBI,31.0,25.0,E02000865,2012
80-84,WBI,41.0,31.0,E02000865,2012
85+,WBI,53.0,26.0,E02000865,2012
0-4,WHO,25.0,26.0,E02000865,2012
10-14,WHO,1.0,3.0,E02000865,2012
15-19,WHO,1.0,3.0,E02000865,2012
20-24,WHO,48.0,27.0,E02000865,2012
25-29,WHO,130.0,90.0,E02000865,2012
30-34,WHO,84.0,79.0,E02000865,2012
35-39,WHO,43.0,48.0,E02000865,2012
40-44,WHO,15.0,24.0,E02000865,2012
45-49,WHO,8.0,11.0,E02000865,2012
5-9,WHO,1.0,6.0,E02000865,2012
50-54,WHO,5.0,4.0,E02000865,2012
55-59,WHO,12.0,5.0,E02000865,2012
60-64,WHO,2.0,3.0,E02000865,2012
65-69,WHO,3.0,5.0,E02000865,2012
70-74,WHO,3.0,1.0,E02000865,2012
75-79,WHO,1.0,,E02000865,2012
80-84,WHO,1.0,1.0,E02000865,2012
0-4,BAN,87.0,94.0,E02000866,2012
10-14,BAN,75.0,97.0,E02000866,2012
15-19,BAN,67.0,69.0,E02000866,2012
20-24,BAN,85.0,84.0,E02000866,2012
25-29,BAN,103.0,74.0,E02000866,2012
30-34,BAN,83.0,83.0,E02000866,2012
35-39,BAN,54.0,63.0,E02000866,2012
40-44,BAN,33.0,50.0,E02000866,2012
45-49,BAN,26.0,21.0,E02000866,2012
5-9,BAN,91.0,103.0,E02000866,2012
50-54,BAN,21.0,27.0,E02000866,2012
55-59,BAN,16.0,23.0,E02000866,2012
60-64,BAN,9.0,8.0,E02000866,2012
65-69,BAN,11.0,2.0,E02000866,2012
70-74,BAN,8.0,7.0,E02000866,2012
75-79,BAN,7.0,8.0,E02000866,2012
80-84,BAN,,3.0,E02000866,2012
0-4,BLA,10.0,17.0,E02000866,2012
10-14,BLA,7.0,11.0,E02000866,2012
15-19,BLA,5.0,6.0,E02000866,2012
20-24,BLA,18.0,15.0,E02000866,2012
25-29,BLA,27.0,12.0,E02000866,2012
30-34,BLA,15.0,23.0,E02000866,2012
35-39,BLA,8.0,15.0,E02000866,2012
40-44,BLA,13.0,10.0,E02000866,2012
45-49,BLA,7.0,8.0,E02000866,2012
5-9,BLA,14.0,12.0,E02000866,2012
50-54,BLA,3.0,6.0,E02000866,2012
55-59,BLA,6.0,1.0,E02000866,2012
60-64,BLA,1.0,1.0,E02000866,2012
65-69,BLA,3.0,5.0,E02000866,2012
70-74,BLA,3.0,1.0,E02000866,2012
75-79,BLA,2.0,1.0,E02000866,2012
80-84,BLA,2.0,,E02000866,2012
0-4,BLC,2.0,7.0,E02000866,2012
10-14,BLC,7.0,9.0,E02000866,2012
15-19,BLC,1.0,5.0,E02000866,2012
20-24,BLC,12.0,3.0,E02000866,2012
25-29,BLC,11.0,6.0,E02000866,2012
30-34,BLC,9.0,9.0,E02000866,2012
35-39,BLC,5.0,9.0,E02000866,2012
40-44,BLC,14.0,8.0,E02000866,2012
45-49,BLC,18.0,14.0,E02000866,2012
5-9,BLC,7.0,3.0,E02000866,2012
50-54,BLC,13.0,13.0,E02000866,2012
55-59,BLC,12.0,11.0,E02000866,2012
60-64,BLC,4.0,1.0,E02000866,2012
65-69,BLC,3.0,2.0,E02000866,2012
70-74,BLC,7.0,3.0,E02000866,2012
75-79,BLC,10.0,4.0,E02000866,2012
80-84,BLC,6.0,5.0,E02000866,2012
85+,BLC,1.0,6.0,E02000866,2012
0-4,CHI,1.0,3.0,E02000866,2012
15-19,CHI,1.0,,E02000866,2012
20-24,CHI,11.0,20.0,E02000866,2012
25-29,CHI,9.0,12.0,E02000866,2012
30-34,CHI,13.0,11.0,E02000866,2012
35-39,CHI,8.0,12.0,E02000866,2012
40-44,CHI,3.0,2.0,E02000866,2012
45-49,CHI,4.0,1.0,E02000866,2012
5-9,CHI,2.0,,E02000866,2012
50-54,CHI,3.0,1.0,E02000866,2012
55-59,CHI,3.0,2.0,E02000866,2012
60-64,CHI,3.0,3.0,E02000866,2012
65-69,CHI,3.0,4.0,E02000866,2012
70-74,CHI,4.0,1.0,E02000866,2012
75-79,CHI,,1.0,E02000866,2012
0-4,IND,3.0,7.0,E02000866,2012
10-14,IND,2.0,1.0,E02000866,2012
15-19,IND,3.0,4.0,E02000866,2012
20-24,IND,21.0,11.0,E02000866,2012
25-29,IND,18.0,11.0,E02000866,2012
30-34,IND,12.0,13.0,E02000866,2012
35-39,IND,5.0,4.0,E02000866,2012
40-44,IND,5.0,6.0,E02000866,2012
45-49,IND,5.0,3.0,E02000866,2012
5-9,IND,2.0,5.0,E02000866,2012
50-54,IND,7.0,6.0,E02000866,2012
55-59,IND,2.0,4.0,E02000866,2012
60-64,IND,3.0,,E02000866,2012
65-69,IND,3.0,2.0,E02000866,2012
70-74,IND,1.0,,E02000866,2012
75-79,IND,1.0,1.0,E02000866,2012
80-84,IND,1.0,,E02000866,2012
0-4,MIX,34.0,39.0,E02000866,2012
10-14,MIX,24.0,21.0,E02000866,2012
15-19,MIX,19.0,14.0,E02000866,2012
20-24,MIX,26.0,16.0,E02000866,2012
25-29,MIX,38.0,18.0,E02000866,2012
30-34,MIX,22.0,21.0,E02000866,2012
35-39,MIX,20.0,13.0,E02000866,2012
40-44,MIX,12.0,16.0,E02000866,2012
45-49,MIX,5.0,8.0,E02000866,2012
5-9,MIX,30.0,27.0,E02000866,2012
50-54,MIX,6.0,3.0,E02000866,2012
55-59,MIX,,4.0,E02000866,2012
60-64,MIX,7.0,2.0,E02000866,2012
65-69,MIX,,3.0,E02000866,2012
70-74,MIX,2.0,1.0,E02000866,2012
75-79,MIX,3.0,2.0,E02000866,2012
80-84,MIX,1.0,1.0,E02000866,2012
85+,MIX,1.0,,E02000866,2012
0-4,OAS,11.0,6.0,E02000866,2012
10-14,OAS,3.0,2.0,E02000866,2012
15-19,OAS,3.0,3.0,E02000866,2012
20-24,OAS,13.0,7.0,E02000866,2012
25-29,OAS,16.0,5.0,E02000866,2012
30-34,OAS,14.0,10.0,E02000866,2012
35-39,OAS,8.0,9.0,E02000866,2012
40-44,OAS,5.0,9.0,E02000866,2012
45-49,OAS,3.0,4.0,E02000866,2012
5-9,OAS,4.0,1.0,E02000866,2012
50-54,OAS,5.0,2.0,E02000866,2012
55-59,OAS,2.0,3.0,E02000866,2012
60-64,OAS,2.0,1.0,E02000866,2012
65-69,OAS,,1.0,E02000866,2012
80-84,OAS,1.0,,E02000866,2012
85+,OAS,1.0,1.0,E02000866,2012
0-4,OBL,12.0,16.0,E02000866,2012
10-14,OBL,5.0,6.0,E02000866,2012
15-19,OBL,3.0,7.0,E02000866,2012
20-24,OBL,2.0,6.0,E02000866,2012
25-29,OBL,3.0,4.0,E02000866,2012
30-34,OBL,7.0,,E02000866,2012
35-39,OBL,4.0,2.0,E02000866,2012
40-44,OBL,2.0,7.0,E02000866,2012
45-49,OBL,6.0,3.0,E02000866,2012
5-9,OBL,4.0,11.0,E02000866,2012
50-54,OBL,1.0,4.0,E02000866,2012
55-59,OBL,2.0,4.0,E02000866,2012
60-64,OBL,3.0,2.0,E02000866,2012
65-69,OBL,3.0,1.0,E02000866,2012
70-74,OBL,1.0,1.0,E02000866,2012
75-79,OBL,,1.0,E02000866,2012
80-84,OBL,,1.0,E02000866,2012
85+,OBL,1.0,,E02000866,2012
0-4,OTH,5.0,3.0,E02000866,2012
10-14,OTH,5.0,7.0,E02000866,2012
15-19,OTH,9.0,3.0,E02000866,2012
20-24,OTH,7.0,8.0,E02000866,2012
25-29,OTH,12.0,11.0,E02000866,2012
30-34,OTH,7.0,8.0,E02000866,2012
35-39,OTH,3.0,6.0,E02000866,2012
40-44,OTH,5.0,8.0,E02000866,2012
45-49,OTH,3.0,7.0,E02000866,2012
5-9,OTH,6.0,2.0,E02000866,2012
50-54,OTH,4.0,,E02000866,2012
55-59,OTH,2.0,3.0,E02000866,2012
60-64,OTH,,3.0,E02000866,2012
65-69,OTH,1.0,1.0,E02000866,2012
70-74,OTH,1.0,,E02000866,2012
75-79,OTH,,1.0,E02000866,2012
80-84,OTH,,1.0,E02000866,2012
0-4,PAK,1.0,,E02000866,2012
15-19,PAK,3.0,3.0,E02000866,2012
20-24,PAK,2.0,6.0,E02000866,2012
25-29,PAK,6.0,3.0,E02000866,2012
30-34,PAK,,4.0,E02000866,2012
35-39,PAK,1.0,4.0,E02000866,2012
40-44,PAK,1.0,1.0,E02000866,2012
45-49,PAK,1.0,,E02000866,2012
55-59,PAK,1.0,1.0,E02000866,2012
65-69,PAK,1.0,,E02000866,2012
0-4,WBI,138.0,172.0,E02000866,2012
10-14,WBI,74.0,90.0,E02000866,2012
15-19,WBI,74.0,70.0,E02000866,2012
20-24,WBI,302.0,248.0,E02000866,2012
25-29,WBI,443.0,382.0,E02000866,2012
30-34,WBI,307.0,342.0,E02000866,2012
35-39,WBI,189.0,230.0,E02000866,2012
40-44,WBI,162.0,191.0,E02000866,2012
45-49,WBI,162.0,167.0,E02000866,2012
5-9,WBI,93.0,108.0,E02000866,2012
50-54,WBI,157.0,158.0,E02000866,2012
55-59,WBI,132.0,167.0,E02000866,2012
60-64,WBI,121.0,116.0,E02000866,2012
65-69,WBI,114.0,94.0,E02000866,2012
70-74,WBI,59.0,76.0,E02000866,2012
75-79,WBI,64.0,46.0,E02000866,2012
80-84,WBI,58.0,43.0,E02000866,2012
85+,WBI,55.0,27.0,E02000866,2012
0-4,WHO,19.0,19.0,E02000866,2012
10-14,WHO,7.0,7.0,E02000866,2012
15-19,WHO,10.0,7.0,E02000866,2012
20-24,WHO,64.0,40.0,E02000866,2012
25-29,WHO,132.0,86.0,E02000866,2012
30-34,WHO,102.0,104.0,E02000866,2012
35-39,WHO,63.0,66.0,E02000866,2012
40-44,WHO,40.0,37.0,E02000866,2012
45-49,WHO,22.0,33.0,E02000866,2012
5-9,WHO,9.0,14.0,E02000866,2012
50-54,WHO,14.0,15.0,E02000866,2012
55-59,WHO,12.0,14.0,E02000866,2012
60-64,WHO,9.0,7.0,E02000866,2012
65-69,WHO,6.0,7.0,E02000866,2012
70-74,WHO,3.0,2.0,E02000866,2012
75-79,WHO,4.0,4.0,E02000866,2012
80-84,WHO,3.0,1.0,E02000866,2012
85+,WHO,2.0,2.0,E02000866,2012
0-4,BAN,110.0,122.0,E02000867,2012
