Ethnicity,Age_Range,F,M,Year
BAN,60-64,926,1270,2021
BAN,65-69,948,637,2021
BAN,70-74,636,142,2021
BAN,75-79,408,190,2021
BAN,80-84,441,374,2021
BAN,85+,281,313,2021
BLA,0-4,480,511,2021
BLA,10-14,475,474,2021
BLA,15-19,367,391,2021
BLA,20-24,320,329,2021
BLA,25-29,319,350,2021
BLA,30-34,490,415,2021
BLA,35-39,580,458,2021
BLA,40-44,551,492,2021
BLA,45-49,434,405,2021
BLA,5-9,486,505,2021
BLA,50-54,424,338,2021
BLA,55-59,282,256,2021
BLA,60-64,190,184,2021
BLA,65-69,124,97,2021
BLA,70-74,97,74,2021
BLA,75-79,65,25,2021
BLA,80-84,45,43,2021
BLA,85+,51,32,2021
BLC,0-4,142,146,2021
BLC,10-14,128,145,2021
BLC,15-19,147,113,2021
BLC,20-24,101,109,2021
BLC,25-29,159,149,2021
BLC,30-34,252,224,2021
BLC,35-39,271,204,2021
BLC,40-44,212,182,2021
BLC,45-49,176,174,2021
BLC,5-9,158,175,2021
BLC,50-54,249,219,2021
BLC,55-59,299,247,2021
BLC,60-64,208,168,2021
BLC,65-69,142,121,2021
BLC,70-74,78,52,2021
BLC,75-79,84,40,2021
BLC,80-84,74,66,2021
BLC,85+,108,62,2021
CHI,0-4,380,373,2021
CHI,10-14,152,174,2021
CHI,15-19,54,51,2021
CHI,20-24,53,47,2021
CHI,25-29,156,137,2021
CHI,30-34,1010,814,2021
CHI,35-39,1205,992,2021
CHI,40-44,729,642,2021
CHI,45-49,306,300,2021
CHI,5-9,371,398,2021
CHI,50-54,189,134,2021
CHI,55-59,100,78,2021
CHI,60-64,93,79,2021
CHI,65-69,89,67,2021
CHI,70-74,61,45,2021
CHI,75-79,29,26,2021
CHI,80-84,24,15,2021
CHI,85+,14,20,2021
IND,0-4,383,384,2021
IND,10-14,202,204,2021
IND,15-19,71,75,2021
IND,20-24,53,50,2021
IND,25-29,113,114,2021
IND,30-34,433,473,2021
IND,35-39,847,963,2021
IND,40-44,653,936,2021
IND,45-49,245,365,2021
IND,5-9,454,427,2021
IND,50-54,133,151,2021
IND,55-59,81,84,2021
IND,60-64,69,80,2021
IND,65-69,44,55,2021
IND,70-74,28,19,2021
IND,75-79,20,15,2021
IND,80-84,8,15,2021
IND,85+,17,11,2021
MIX,0-4,428,410,2021
MIX,10-14,893,954,2021
MIX,15-19,529,526,2021
MIX,20-24,359,383,2021
MIX,25-29,326,399,2021
MIX,30-34,825,560,2021
MIX,35-39,800,693,2021
MIX,40-44,498,534,2021
MIX,45-49,282,290,2021
MIX,5-9,394,372,2021
MIX,50-54,198,231,2021
MIX,55-59,134,188,2021
MIX,60-64,117,108,2021
MIX,65-69,73,66,2021
MIX,70-74,41,33,2021
MIX,75-79,19,13,2021
MIX,80-84,21,15,2021
MIX,85+,26,20,2021
OAS,0-4,346,346,2021
OAS,10-14,189,187,2021
OAS,15-19,140,122,2021
OAS,20-24,93,98,2021
OAS,25-29,169,159,2021
OAS,30-34,439,421,2021
OAS,35-39,577,426,2021
OAS,40-44,531,375,2021
OAS,45-49,369,308,2021
OAS,5-9,346,349,2021
OAS,50-54,215,128,2021
OAS,55-59,117,72,2021
OAS,60-64,106,67,2021
OAS,65-69,77,47,2021
OAS,70-74,53,37,2021
OAS,75-79,33,19,2021
OAS,80-84,22,6,2021
OAS,85+,16,9,2021
OBL,0-4,78,73,2021
OBL,10-14,281,313,2021
OBL,15-19,208,238,2021
OBL,20-24,195,181,2021
OBL,25-29,121,146,2021
OBL,30-34,131,147,2021
OBL,35-39,175,107,2021
OBL,40-44,173,136,2021
OBL,45-49,140,119,2021
OBL,5-9,103,97,2021
OBL,50-54,130,136,2021
OBL,55-59,118,125,2021
OBL,60-64,64,59,2021
OBL,65-69,35,33,2021
OBL,70-74,32,13,2021
OBL,75-79,27,15,2021
OBL,80-84,21,15,2021
OBL,85+,29,13,2021
OTH,0-4,211,235,2021
OTH,10-14,176,174,2021
OTH,15-19,161,161,2021
OTH,20-24,100,134,2021
OTH,25-29,154,168,2021
OTH,30-34,313,500,2021
OTH,35-39,383,618,2021
OTH,40-44,369,518,2021
OTH,45-49,210,324,2021
OTH,5-9,243,246,2021
OTH,50-54,148,240,2021
OTH,55-59,90,231,2021
OTH,60-64,80,81,2021
OTH,65-69,60,70,2021
OTH,70-74,29,33,2021
OTH,75-79,20,19,2021
OTH,80-84,21,16,2021
OTH,85+,21,10,2021
PAK,0-4,134,138,2021
PAK,10-14,88,95,2021
PAK,15-19,67,69,2021
PAK,20-24,49,48,2021
PAK,25-29,84,98,2021
PAK,30-34,182,262,2021
PAK,35-39,166,228,2021
PAK,40-44,120,197,2021
PAK,45-49,85,113,2021
PAK,5-9,138,173,2021
PAK,50-54,58,61,2021
PAK,55-59,31,59,2021
PAK,60-64,32,31,2021
PAK,65-69,32,20,2021
PAK,70-74,21,16,2021
PAK,75-79,8,15,2021
PAK,80-84,9,9,2021
PAK,85+,4,14,2021
WBI,0-4,3105,3058,2021
WBI,10-14,1536,1610,2021
WBI,15-19,1021,990,2021
WBI,20-24,916,981,2021
WBI,25-29,1652,1506,2021
WBI,30-34,5297,5013,2021
WBI,35-39,6276,7323,2021
WBI,40-44,3975,5625,2021
WBI,45-49,2445,3747,2021
WBI,5-9,3554,3515,2021
WBI,50-54,2262,3270,2021
WBI,55-59,2194,2768,2021
WBI,60-64,1989,2481,2021
WBI,65-69,1723,2054,2021
WBI,70-74,1410,1693,2021
WBI,75-79,1013,957,2021
WBI,80-84,763,584,2021
WBI,85+,1491,801,2021
WHO,0-4,1982,1980,2021
WHO,10-14,471,525,2021
WHO,15-19,214,204,2021
WHO,20-24,171,160,2021
WHO,25-29,399,330,2021
WHO,30-34,2352,1843,2021
WHO,35-39,4157,4101,2021
WHO,40-44,3345,3823,2021
WHO,45-49,1724,2188,2021
WHO,5-9,2155,2086,2021
WHO,50-54,831,1170,2021
WHO,55-59,460,596,2021
WHO,60-64,319,314,2021
WHO,65-69,244,208,2021
WHO,70-74,179,154,2021
WHO,75-79,96,69,2021
WHO,80-84,58,36,2021
WHO,85+,85,52,2021
